,Entry.name,Gene.names,Gene.names...primary..,Gene.names...synonym..,Gene.names...ordered.locus..,Gene.names...ORF..,Organism,Organism.ID,Protein.names,Proteomes,Taxonomic.lineage..ALL.,Virus.hosts
O67434,O67434_AQUAE,aq_1447,NA,NA,aq_1447,NA,Aquifex aeolicus (strain VF5),224324,Piwi domain-containing protein,UP000000798: Chromosome,"cellular organisms, Bacteria, Aquificae, Aquificae, Aquificales, Aquificaceae, Aquifex, Aquifex aeolicus, Aquifex aeolicus (strain VF5)",NA
H2J4R4,H2J4R4_MARPK,Marpi_0405,NA,NA,Marpi_0405,NA,Marinitoga piezophila (strain DSM 14283 / JCM 11233 / KA3),443254,Piwi domain-containing protein,UP000007161: Chromosome,"cellular organisms, Bacteria, Thermotogae, Thermotogae, Petrotogales, Petrotogaceae, Marinitoga, Marinitoga piezophila, Marinitoga piezophila (strain DSM 14283 / JCM 11233 / KA3)",NA
Q8U3D2,Q8U3D2_PYRFU,PF0537,NA,NA,PF0537,NA,Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1),186497,Uncharacterized protein,UP000001013: Chromosome,"cellular organisms, Archaea, Euryarchaeota, Thermococci, Thermococcales, Thermococcaceae, Pyrococcus, Pyrococcus furiosus, Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)",NA
Q746M7,Q746M7_THET2,TT_P0026,NA,NA,TT_P0026,NA,Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27),262724,Piwi domain-containing protein,UP000000592: Plasmid pTT27,"cellular organisms, Bacteria, Terrabacteria group, Deinococcus-Thermus, Deinococci, Thermales, Thermaceae, Thermus, Thermus thermophilus, Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27)",NA
Q58717,AGO_METJA,MJ1321,NA,NA,MJ1321,NA,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii),243232,Protein argonaute (MjAgo) (EC 3.1.25.-),UP000000805: Chromosome,"cellular organisms, Archaea, Euryarchaeota, Methanomada group, Methanococci, Methanococcales, Methanocaldococcaceae, Methanocaldococcus, Methanocaldococcus jannaschii, Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)",NA
A4WYU7,A4WYU7_RHOS5,Rsph17025_3694,NA,NA,Rsph17025_3694,NA,Rhodobacter sphaeroides (strain ATCC 17025 / ATH 2.4.3),349102,Piwi domain-containing protein,UP000000234: Plasmid pRSPA01,"cellular organisms, Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Luteovulum, Rhodobacter sphaeroides (Rhodopseudomonas sphaeroides), Rhodobacter sphaeroides (strain ATCC 17025 / ATH 2.4.3)",NA
Q9VKM1,PIWI_DROME,piwi CG6122,piwi,NA,NA,CG6122,Drosophila melanogaster (Fruit fly),7227,Protein piwi (EC 3.1.26.-),UP000000803: Chromosome 2L,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Diptera, Brachycera, Muscomorpha, Eremoneura, Cyclorrhapha, Schizophora, Acalyptratae, Ephydroidea, Drosophilidae (pomace flies), Drosophilinae, Drosophilini, Drosophila (fruit flies), Sophophora, melanogaster group, melanogaster subgroup, Drosophila melanogaster (Fruit fly)",NA
A7TMA9,A7TMA9_VANPO,Kpol_520p25,NA,NA,NA,Kpol_520p25,Vanderwaltozyma polyspora (strain ATCC 22028 / DSM 70294 / BCRC 21397 / CBS 2163 / NBRC 10782 / NRRL Y-8283 / UCD 57-17) (Kluyveromyces polysporus),436907,Uncharacterized protein,UP000000267: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina (true yeasts), Saccharomycetes, Saccharomycetales, Saccharomycetaceae, Vanderwaltozyma, Vanderwaltozyma polyspora, Vanderwaltozyma polyspora (strain ATCC 22028 / DSM 70294 / BCRC 21397 / CBS 2163 / NBRC 10782 / NRRL Y-8283 / UCD 57-17) (Kluyveromyces polysporus)",NA
D5MRY8,D5MRY8_9METZ,EfPiwiA,EfPiwiA,NA,NA,NA,Ephydatia fluviatilis,31330,Piwi,NA,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Porifera (sponges), Demospongiae, Heteroscleromorpha, Spongillida, Spongillidae (freshwater sponges), Ephydatia, Ephydatia fluviatilis",NA
A8D8P8,SIWI_BOMMO,Siwi,Siwi,NA,NA,NA,Bombyx mori (Silk moth),7091,Piwi-like protein Siwi (EC 3.1.26.-),UP000005204: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Amphiesmenoptera, Lepidoptera (butterflies and moths), Glossata, Neolepidoptera, Heteroneura, Ditrysia, Obtectomera, Bombycoidea (hawk-moths), Bombycidae (silkworm moths), Bombycinae, Bombyx, Bombyx mori (Silk moth)",NA
